sede_sise,distancia_km,cod_mod,nombre_colegio,gestion,tipo_gestion,provincia,distrito,direccion,latitud,longitud
SISE VILLA EL SALVADOR,1.64,0874271,JUAN ESPINOZA MEDRANO,Privada,Privado,LIMA,VILLA EL SALVADOR,AVENIDA LOS ALAMOS 1248 MZ D LOTE 12 SECTOR 2,-12.20411,-76.94568
SISE VILLA EL SALVADOR,3.05,0777334,PEDRO RUIZ GALLO,Privada,Privado,LIMA,VILLA EL SALVADOR,MZ C LOTE 21 SECTOR 3,-12.21775,-76.92852
SISE SAN JUAN DE MIRAFLORES,2.24,0870956,7208,P£blica de gesti¢n directa,Público,LIMA,SAN JUAN DE MIRAFLORES,JIRON MARISCAL CASTILLA MZ A LOTE 01 ETAPA 1,-12.17325,-76.95738
SISE SURCO,4.49,0870956,7208,P£blica de gesti¢n directa,Público,LIMA,SAN JUAN DE MIRAFLORES,JIRON MARISCAL CASTILLA MZ A LOTE 01 ETAPA 1,-12.17325,-76.95738
SISE VILLA EL SALVADOR,2.99,0870956,7208,P£blica de gesti¢n directa,Público,LIMA,SAN JUAN DE MIRAFLORES,JIRON MARISCAL CASTILLA MZ A LOTE 01 ETAPA 1,-12.17325,-76.95738
SISE SAN JUAN DE MIRAFLORES,2.35,0643262,6151 SAN LUIS GONZAGA,P£blica de gesti¢n directa,Público,LIMA,SAN JUAN DE MIRAFLORES,JIRON FRANCISCO BOLOGNESI S/N ZONA C,-12.13945,-76.97141
SISE SURCO,1.94,0643262,6151 SAN LUIS GONZAGA,P£blica de gesti¢n directa,Público,LIMA,SAN JUAN DE MIRAFLORES,JIRON FRANCISCO BOLOGNESI S/N ZONA C,-12.13945,-76.97141
SISE SAN JUAN DE MIRAFLORES,2.85,0501601,6038 OLLANTAY,P£blica de gesti¢n directa,Público,LIMA,SAN JUAN DE MIRAFLORES,AVENIDA EDILBERTO RAMOS OLLANTAY S/N,-12.1366,-76.96388
SISE SURCO,2.82,0501601,6038 OLLANTAY,P£blica de gesti¢n directa,Público,LIMA,SAN JUAN DE MIRAFLORES,AVENIDA EDILBERTO RAMOS OLLANTAY S/N,-12.1366,-76.96388
SISE SAN JUAN DE MIRAFLORES,3.17,0493841,6020 MICAELA BASTIDAS,P£blica de gesti¢n directa,Público,LIMA,VILLA MARIA DEL TRIUNFO,JIRON HUAYNA CAPAC S/N,-12.17549,-76.94849
SISE VILLA EL SALVADOR,2.17,0493841,6020 MICAELA BASTIDAS,P£blica de gesti¢n directa,Público,LIMA,VILLA MARIA DEL TRIUNFO,JIRON HUAYNA CAPAC S/N,-12.17549,-76.94849
SISE SAN JUAN DE MIRAFLORES,3.14,0493544,7055 TUPAC AMARU II,P£blica de gesti¢n directa,Público,LIMA,VILLA MARIA DEL TRIUNFO,JIRON MARIANO MELGAR S/N,-12.16337,-76.94462
SISE VILLA EL SALVADOR,3.25,0493544,7055 TUPAC AMARU II,P£blica de gesti¢n directa,Público,LIMA,VILLA MARIA DEL TRIUNFO,JIRON MARIANO MELGAR S/N,-12.16337,-76.94462
